====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =000004.32
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  5817.11E-02  0000.00E+00
400010.E-03  5389.89E-02  0000.00E+00
600010.E-03  5419.40E-02  0000.00E+00
800010.E-03  5469.50E-02  9628.03E-08
100001.E-02  5216.92E-02  2867.94E-06
120001.E-02  5123.05E-02  4512.16E-07
140001.E-02  5208.47E-02  0000.00E+00
160001.E-02  5208.47E-02  0000.00E+00
180001.E-02  5208.47E-02  0000.00E+00
200001.E-02  5381.59E-02  1809.40E-06
220001.E-02  5440.03E-02  2651.08E-07
240001.E-02  5500.34E-02  0000.00E+00
260001.E-02  5472.08E-02  7242.21E-07
280001.E-02  5478.76E-02  0000.00E+00
300001.E-02  5478.76E-02  0000.00E+00
320001.E-02  5478.76E-02  0000.00E+00
340001.E-02  5456.35E-02  2753.48E-07
360001.E-02  5419.01E-02  1875.95E-07
380001.E-02  5373.62E-02  2284.58E-07
400001.E-02  5529.39E-02  5212.28E-07
420001.E-02  5493.45E-02  0000.00E+00
440001.E-02  5493.45E-02  0000.00E+00
460001.E-02  5483.73E-02  1171.29E-06
480001.E-02  5550.90E-02  3942.25E-06
500001.E-02  5557.25E-02  2038.39E-07
520001.E-02  5464.57E-02  2130.15E-06
540001.E-02  5496.25E-02  0000.00E+00
560001.E-02  5496.25E-02  0000.00E+00
580001.E-02  5496.25E-02  0000.00E+00
600001.E-02  5403.87E-02  5345.93E-06
620001.E-02  5409.91E-02  3457.34E-06
640001.E-02  5469.07E-02  2366.32E-06
660001.E-02  5448.52E-02  7832.46E-07
680001.E-02  5402.15E-02  0000.00E+00
700001.E-02  5402.15E-02  0000.00E+00
720001.E-02  5489.75E-02  7331.92E-06
740001.E-02  5688.69E-02  0000.00E+00
760001.E-02  5717.26E-02  1485.77E-06
780001.E-02  5593.11E-02  9102.97E-06
800001.E-02  5530.70E-02  0000.00E+00
820001.E-02  5530.70E-02  0000.00E+00
840001.E-02  5530.70E-02  0000.00E+00
860001.E-02  5366.54E-02  1251.89E-06
880001.E-02  5387.34E-02  1455.11E-06
900001.E-02  5465.14E-02  4505.39E-06
920001.E-02  5586.38E-02  0000.00E+00
940001.E-02  5586.38E-02  0000.00E+00
960001.E-02  5586.38E-02  0000.00E+00
980001.E-02  5465.66E-02  2329.69E-06
100000.E-01  5421.17E-02  1365.75E-06
102000.E-01  5390.53E-02  7214.71E-07
104000.E-01  5250.43E-02  0000.00E+00
106000.E-01  5250.43E-02  0000.00E+00
108000.E-01  5250.43E-02  0000.00E+00
110000.E-01  5446.61E-02  6672.42E-07
112000.E-01  5523.08E-02  1781.27E-06
114000.E-01  5457.44E-02  7574.35E-07
116000.E-01  5595.25E-02  0000.00E+00
118000.E-01  5595.25E-02  0000.00E+00
120000.E-01  5595.25E-02  0000.00E+00
122000.E-01  5419.65E-02  4141.16E-07
124000.E-01  5348.30E-02  1920.94E-06
126000.E-01  5389.89E-02  4380.38E-05
128000.E-01  5383.94E-02  0000.00E+00
130000.E-01  5383.94E-02  0000.00E+00
132000.E-01  5383.94E-02  0000.00E+00
134000.E-01  5599.04E-02  1629.78E-06
136000.E-01  5618.98E-02  1835.92E-07
138000.E-01  5680.89E-02  9549.41E-07
140000.E-01  5861.08E-02  0000.00E+00
142000.E-01  5861.08E-02  0000.00E+00
144000.E-01  5871.11E-02  6160.18E-07
146000.E-01  6096.78E-02  0000.00E+00
148000.E-01  6218.29E-02  1660.55E-06
150000.E-01  6269.06E-02  4161.35E-06
152000.E-01  6293.73E-02  0000.00E+00
154000.E-01  6293.73E-02  0000.00E+00
156000.E-01  6225.34E-02  3426.67E-07
158000.E-01  6108.74E-02  2080.13E-07
160000.E-01  6104.72E-02  0000.00E+00
162000.E-01  6118.36E-02  1261.83E-06
164000.E-01  6116.06E-02  0000.00E+00
166000.E-01  6116.06E-02  0000.00E+00
168000.E-01  6216.50E-02  4183.69E-07
170000.E-01  6369.88E-02  1330.05E-05
172000.E-01  6469.01E-02  4894.67E-06
174000.E-01  6453.76E-02  0000.00E+00
176000.E-01  6453.76E-02  0000.00E+00
178000.E-01  6475.02E-02  2163.51E-05
180000.E-01  6483.09E-02  2567.90E-06
182000.E-01  6298.41E-02  3341.95E-07
184000.E-01  6458.94E-02  5224.46E-07
186000.E-01  6495.54E-02  0000.00E+00
188000.E-01  6477.39E-02  1548.24E-07
190000.E-01  6091.99E-02  8424.90E-07
192000.E-01  6362.10E-02  8700.39E-07
194000.E-01  6283.06E-02  1846.50E-06
196000.E-01  5873.39E-02  2300.43E-06
198000.E-01  6747.91E-02  8403.25E-07
200000.E-01  7037.27E-02  2808.06E-06
