====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =4.62
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  752622.E-08  747574.E-09
400010.E-03  976469.E-08  148868.E-08
600010.E-03  129483.E-07  104901.E-08
800010.E-03  128075.E-07  000000.E+00
100001.E-02  104334.E-07  254968.E-07
120001.E-02  753275.E-08  300233.E-09
140001.E-02  695766.E-08  270984.E-07
160001.E-02  381813.E-08  236687.E-08
180001.E-02  360316.E-08  000000.E+00
200001.E-02  490597.E-08  377582.E-08
220001.E-02  616602.E-08  464340.E-08
240001.E-02  490188.E-08  806469.E-08
260001.E-02  452234.E-08  310120.E-07
280001.E-02  500454.E-08  000000.E+00
300001.E-02  352808.E-08  153502.E-07
320001.E-02  300845.E-08  144843.E-08
340001.E-02  537448.E-08  792984.E-07
360001.E-02  903587.E-08  559225.E-08
380001.E-02  999994.E-08  000000.E+00
400001.E-02  131706.E-07  383318.E-08
420001.E-02  147125.E-07  131459.E-07
440001.E-02  187672.E-07  259590.E-07
460001.E-02  146915.E-07  000000.E+00
480001.E-02  142442.E-07  171242.E-07
500001.E-02  119581.E-07  208850.E-08
520001.E-02  813128.E-08  427279.E-07
540001.E-02  487620.E-08  709316.E-07
560001.E-02  512022.E-08  000000.E+00
580001.E-02  563723.E-08  735818.E-08
600001.E-02  652404.E-08  289552.E-08
620001.E-02  846662.E-08  946127.E-08
640001.E-02  902144.E-08  177186.E-08
660001.E-02  937404.E-08  986930.E-08
680001.E-02  143483.E-07  290663.E-07
700001.E-02  142666.E-07  198211.E-07
720001.E-02  139197.E-07  743403.E-08
740001.E-02  140723.E-07  000000.E+00
760001.E-02  118191.E-07  305833.E-07
780001.E-02  120108.E-07  146547.E-07
800001.E-02  119304.E-07  103043.E-07
820001.E-02  113077.E-07  000000.E+00
840001.E-02  115205.E-07  251420.E-07
860001.E-02  108899.E-07  744405.E-08
880001.E-02  103960.E-07  865138.E-08
900001.E-02  971445.E-08  261195.E-08
920001.E-02  972362.E-08  921899.E-08
940001.E-02  687621.E-08  218990.E-07
960001.E-02  528013.E-08  175301.E-08
980001.E-02  102602.E-07  408534.E-08
100000.E-01  114261.E-07  000000.E+00
102000.E-01  928861.E-08  140622.E-07
104000.E-01  865075.E-08  168364.E-08
106000.E-01  852500.E-08  260091.E-07
108000.E-01  816175.E-08  000000.E+00
110000.E-01  171749.E-07  229210.E-06
112000.E-01  219096.E-07  738255.E-08
114000.E-01  178002.E-07  193438.E-07
116000.E-01  173757.E-07  151736.E-07
118000.E-01  112303.E-07  370639.E-07
120000.E-01  796727.E-08  136656.E-04
122000.E-01  672609.E-08  000000.E+00
124000.E-01  668689.E-08  184958.E-07
126000.E-01  629088.E-08  361635.E-07
128000.E-01  617941.E-08  260343.E-08
130000.E-01  645964.E-08  000000.E+00
132000.E-01  129778.E-07  589892.E-07
134000.E-01  203672.E-07  136255.E-05
136000.E-01  195093.E-07  396716.E-08
138000.E-01  143063.E-07  416143.E-07
140000.E-01  717579.E-08  154159.E-07
142000.E-01  817048.E-08  398712.E-07
144000.E-01  944035.E-08  000000.E+00
146000.E-01  912963.E-08  217150.E-07
148000.E-01  849565.E-08  314089.E-08
150000.E-01  101098.E-07  307333.E-08
152000.E-01  103187.E-07  109328.E-07
154000.E-01  114364.E-07  143894.E-07
156000.E-01  120738.E-07  170261.E-08
158000.E-01  165589.E-07  456370.E-06
160000.E-01  124668.E-07  300354.E-07
162000.E-01  126895.E-07  240248.E-07
164000.E-01  140491.E-07  000000.E+00
166000.E-01  232376.E-07  246925.E-06
168000.E-01  247802.E-07  313961.E-07
170000.E-01  246275.E-07  136406.E-07
172000.E-01  188685.E-07  310345.E-07
174000.E-01  165535.E-07  217266.E-07
176000.E-01  176102.E-07  631786.E-08
178000.E-01  176515.E-07  147838.E-07
180000.E-01  162640.E-07  281445.E-07
182000.E-01  129033.E-07  260921.E-08
184000.E-01  158408.E-07  170024.E-07
186000.E-01  161141.E-07  203876.E-08
188000.E-01  934102.E-08  284732.E-07
190000.E-01  899083.E-08  582351.E-06
192000.E-01  113127.E-07  781641.E-08
194000.E-01  870504.E-08  845567.E-08
196000.E-01  796496.E-08  950086.E-08
198000.E-01  167542.E-07  422711.E-05
200000.E-01  371764.E-07  496061.E-07
