====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =000004.62
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  5281.75E-02  0000.00E+00
400010.E-03  5640.54E-02  1067.25E-07
600010.E-03  5728.20E-02  0000.00E+00
800010.E-03  5935.32E-02  0000.00E+00
100001.E-02  5771.00E-02  2607.90E-06
120001.E-02  5691.32E-02  0000.00E+00
140001.E-02  5780.61E-02  3175.30E-06
160001.E-02  5900.25E-02  1834.90E-07
180001.E-02  5968.02E-02  0000.00E+00
200001.E-02  5994.59E-02  2817.67E-07
220001.E-02  6003.35E-02  4033.88E-07
240001.E-02  5998.55E-02  7692.25E-07
260001.E-02  5973.33E-02  3718.34E-06
280001.E-02  5946.35E-02  0000.00E+00
300001.E-02  5970.81E-02  1474.13E-06
320001.E-02  6102.19E-02  1033.60E-07
340001.E-02  6216.78E-02  1116.25E-05
360001.E-02  6141.78E-02  5013.41E-07
380001.E-02  6108.70E-02  0000.00E+00
400001.E-02  6210.73E-02  2878.36E-07
420001.E-02  6231.19E-02  1362.18E-06
440001.E-02  6243.72E-02  2899.19E-06
460001.E-02  6451.94E-02  0000.00E+00
480001.E-02  6417.06E-02  1855.88E-06
500001.E-02  6360.34E-02  1585.26E-07
520001.E-02  6439.86E-02  4810.53E-06
540001.E-02  6506.06E-02  9795.73E-06
560001.E-02  6359.85E-02  0000.00E+00
580001.E-02  6398.58E-02  6367.74E-07
600001.E-02  6198.43E-02  2322.47E-07
620001.E-02  6193.99E-02  9271.90E-07
640001.E-02  6336.07E-02  1308.12E-07
660001.E-02  6345.36E-02  9741.22E-07
680001.E-02  6427.35E-02  3446.80E-06
700001.E-02  6428.50E-02  2038.53E-06
720001.E-02  6316.73E-02  6993.59E-07
740001.E-02  6303.39E-02  0000.00E+00
760001.E-02  6427.60E-02  3542.39E-06
780001.E-02  6596.29E-02  1546.78E-06
800001.E-02  6816.33E-02  9492.64E-07
820001.E-02  6789.65E-02  0000.00E+00
840001.E-02  6815.42E-02  2652.65E-06
860001.E-02  6724.27E-02  7004.61E-07
880001.E-02  6555.87E-02  8350.61E-07
900001.E-02  6808.48E-02  2058.87E-07
920001.E-02  6804.50E-02  8994.83E-07
940001.E-02  6673.93E-02  2212.97E-06
960001.E-02  6716.10E-02  1291.87E-07
980001.E-02  6764.58E-02  3473.07E-07
100000.E-01  6747.99E-02  0000.00E+00
102000.E-01  7153.74E-02  1258.24E-06
104000.E-01  7079.65E-02  1232.33E-07
106000.E-01  6956.28E-02  3026.45E-06
108000.E-01  6973.78E-02  0000.00E+00
110000.E-01  6784.61E-02  3693.64E-05
112000.E-01  7081.69E-02  6936.99E-07
114000.E-01  7183.87E-02  2140.31E-06
116000.E-01  7193.30E-02  1611.04E-06
118000.E-01  7377.00E-02  4074.11E-06
120000.E-01  7445.78E-02  5019.68E-03
122000.E-01  7640.16E-02  0000.00E+00
124000.E-01  7539.33E-02  1820.45E-06
126000.E-01  7161.58E-02  4334.17E-06
128000.E-01  7138.57E-02  2051.02E-07
130000.E-01  7102.47E-02  0000.00E+00
132000.E-01  7177.55E-02  6916.11E-06
134000.E-01  7520.94E-02  3157.28E-04
136000.E-01  7535.43E-02  3355.90E-07
138000.E-01  7636.73E-02  4693.25E-06
140000.E-01  7790.08E-02  1533.22E-06
142000.E-01  7844.14E-02  5184.59E-06
144000.E-01  7588.19E-02  0000.00E+00
146000.E-01  7582.76E-02  2228.25E-06
148000.E-01  7599.37E-02  2554.13E-07
150000.E-01  7656.07E-02  2490.03E-07
152000.E-01  7636.60E-02  1026.29E-06
154000.E-01  7471.74E-02  1418.89E-06
156000.E-01  7620.30E-02  1248.57E-07
158000.E-01  8019.23E-02  8699.37E-05
160000.E-01  8644.89E-02  3170.93E-06
162000.E-01  8690.03E-02  2481.66E-06
164000.E-01  8507.98E-02  0000.00E+00
166000.E-01  8491.17E-02  4175.20E-05
168000.E-01  8669.19E-02  3388.69E-06
170000.E-01  8981.57E-02  1422.34E-06
172000.E-01  8755.89E-02  3149.35E-06
174000.E-01  8392.11E-02  2451.92E-06
176000.E-01  8311.10E-02  5247.73E-07
178000.E-01  8692.67E-02  1406.55E-06
180000.E-01  8538.40E-02  3143.40E-06
182000.E-01  8244.67E-02  2056.34E-07
184000.E-01  8118.09E-02  1596.51E-06
186000.E-01  8088.73E-02  1541.22E-07
188000.E-01  8386.84E-02  3160.00E-06
190000.E-01  8800.12E-02  1145.70E-04
192000.E-01  9146.07E-02  6595.40E-07
194000.E-01  8791.05E-02  7479.51E-07
196000.E-01  8517.70E-02  9317.29E-07
198000.E-01  1029.90E-01  1209.75E-03
200000.E-01  1169.33E-01  4365.76E-06
