====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =000004.62
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  6404.98E-02  3562.54E-07
400010.E-03  6310.64E-02  0000.00E+00
600010.E-03  6358.89E-02  0000.00E+00
800010.E-03  6264.54E-02  1558.41E-07
100001.E-02  6394.01E-02  5615.41E-07
120001.E-02  6142.29E-02  1108.22E-05
140001.E-02  5691.86E-02  0000.00E+00
160001.E-02  5654.89E-02  0000.00E+00
180001.E-02  5794.17E-02  6762.87E-07
200001.E-02  5812.50E-02  0000.00E+00
220001.E-02  5935.46E-02  2488.73E-06
240001.E-02  6160.83E-02  3822.76E-07
260001.E-02  6165.15E-02  0000.00E+00
280001.E-02  5964.56E-02  3342.62E-07
300001.E-02  5962.42E-02  1239.15E-07
320001.E-02  6122.84E-02  6678.23E-06
340001.E-02  6291.24E-02  0000.00E+00
360001.E-02  6339.92E-02  6903.04E-07
380001.E-02  6649.24E-02  0000.00E+00
400001.E-02  6644.58E-02  1307.61E-06
420001.E-02  6598.21E-02  2265.54E-05
440001.E-02  6495.34E-02  0000.00E+00
460001.E-02  6505.06E-02  1178.60E-06
480001.E-02  6519.28E-02  0000.00E+00
500001.E-02  6465.41E-02  5074.24E-05
520001.E-02  6559.85E-02  1490.81E-06
540001.E-02  6662.59E-02  0000.00E+00
560001.E-02  6425.05E-02  1439.36E-06
580001.E-02  6358.87E-02  3508.65E-07
600001.E-02  6334.16E-02  3040.83E-06
620001.E-02  6205.72E-02  0000.00E+00
640001.E-02  6294.28E-02  4972.53E-06
660001.E-02  6504.69E-02  0000.00E+00
680001.E-02  6536.71E-02  4343.99E-06
700001.E-02  6604.10E-02  1719.33E-06
720001.E-02  6572.27E-02  0000.00E+00
740001.E-02  6584.67E-02  1541.26E-07
760001.E-02  6543.53E-02  7392.84E-05
780001.E-02  6233.36E-02  2970.19E-06
800001.E-02  6110.77E-02  0000.00E+00
820001.E-02  6075.86E-02  1794.31E-06
840001.E-02  6056.64E-02  2800.16E-07
860001.E-02  6460.58E-02  2048.19E-06
880001.E-02  6788.85E-02  2218.24E-07
900001.E-02  6749.70E-02  1118.71E-07
920001.E-02  6685.08E-02  0000.00E+00
940001.E-02  6457.15E-02  4725.50E-05
960001.E-02  6281.12E-02  7519.22E-07
980001.E-02  6208.58E-02  3815.06E-07
100000.E-01  6141.38E-02  0000.00E+00
102000.E-01  6380.33E-02  6251.01E-06
104000.E-01  6545.67E-02  1063.70E-07
106000.E-01  6678.07E-02  1552.03E-05
108000.E-01  6916.27E-02  0000.00E+00
110000.E-01  7064.36E-02  8822.01E-07
112000.E-01  7258.49E-02  1941.74E-07
114000.E-01  7353.43E-02  3150.64E-06
116000.E-01  7374.30E-02  8457.80E-06
118000.E-01  7479.46E-02  3539.89E-05
120000.E-01  7417.03E-02  9682.75E-07
122000.E-01  7194.32E-02  2485.05E-07
124000.E-01  7125.40E-02  1092.63E-06
126000.E-01  7259.93E-02  1213.12E-06
128000.E-01  7573.26E-02  9892.53E-07
130000.E-01  7844.85E-02  0000.00E+00
132000.E-01  7828.17E-02  1046.55E-06
134000.E-01  7761.91E-02  2260.66E-06
136000.E-01  7512.50E-02  1350.43E-06
138000.E-01  7407.54E-02  4852.49E-06
140000.E-01  7154.69E-02  1071.30E-06
142000.E-01  7312.27E-02  2116.62E-06
144000.E-01  7477.65E-02  0000.00E+00
146000.E-01  7595.40E-02  4647.05E-06
148000.E-01  7443.32E-02  8072.47E-07
150000.E-01  7319.55E-02  2840.36E-06
152000.E-01  7316.23E-02  1099.82E-06
154000.E-01  7417.85E-02  5757.34E-07
156000.E-01  7674.22E-02  2764.57E-06
158000.E-01  7818.60E-02  5843.23E-07
160000.E-01  8048.39E-02  4294.65E-07
162000.E-01  8004.30E-02  4203.08E-06
164000.E-01  7796.04E-02  3565.15E-05
166000.E-01  8038.62E-02  1235.20E-07
168000.E-01  7861.39E-02  3356.28E-06
170000.E-01  8075.73E-02  3390.90E-07
172000.E-01  7550.63E-02  3893.07E-06
174000.E-01  7688.85E-02  1393.76E-06
176000.E-01  7783.45E-02  3403.66E-05
178000.E-01  8324.90E-02  7386.83E-07
180000.E-01  8296.18E-02  1419.51E-04
182000.E-01  8142.82E-02  1079.53E-06
184000.E-01  8102.06E-02  1838.16E-07
186000.E-01  8109.23E-02  1866.48E-06
188000.E-01  8062.34E-02  1681.45E-06
190000.E-01  8191.16E-02  1319.59E-07
192000.E-01  8874.54E-02  3203.45E-06
194000.E-01  8568.33E-02  2951.94E-06
196000.E-01  8275.20E-02  6367.30E-05
198000.E-01  8304.20E-02  3483.07E-05
200000.E-01  7340.34E-02  4116.55E-06
