====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =4.62
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  735312.E-08  417728.E-08
400010.E-03  267924.E-08  807998.E-09
600010.E-03  260690.E-08  000000.E+00
800010.E-03  323303.E-08  227424.E-08
100001.E-02  315785.E-08  616072.E-08
120001.E-02  570342.E-08  800175.E-07
140001.E-02  809692.E-08  796722.E-09
160001.E-02  816566.E-08  000000.E+00
180001.E-02  740630.E-08  722254.E-08
200001.E-02  730639.E-08  000000.E+00
220001.E-02  617449.E-08  247356.E-07
240001.E-02  564252.E-08  443396.E-08
260001.E-02  572671.E-08  000000.E+00
280001.E-02  648966.E-08  395304.E-08
300001.E-02  661577.E-08  169132.E-08
320001.E-02  697452.E-08  578239.E-07
340001.E-02  562012.E-08  000000.E+00
360001.E-02  576102.E-08  735037.E-08
380001.E-02  665629.E-08  000000.E+00
400001.E-02  596576.E-08  137006.E-07
420001.E-02  511905.E-08  146991.E-06
440001.E-02  635353.E-08  000000.E+00
460001.E-02  659464.E-08  116136.E-07
480001.E-02  694750.E-08  000000.E+00
500001.E-02  100364.E-07  304676.E-06
520001.E-02  114949.E-07  154789.E-07
540001.E-02  111541.E-07  000000.E+00
560001.E-02  854023.E-08  137777.E-07
580001.E-02  784095.E-08  412040.E-08
600001.E-02  335135.E-08  281628.E-07
620001.E-02  501045.E-08  000000.E+00
640001.E-02  515793.E-08  397461.E-07
660001.E-02  550836.E-08  000000.E+00
680001.E-02  628891.E-08  366437.E-07
700001.E-02  998237.E-08  175446.E-07
720001.E-02  100595.E-07  000000.E+00
740001.E-02  134497.E-07  203845.E-08
760001.E-02  137925.E-07  392342.E-06
780001.E-02  118206.E-07  274363.E-07
800001.E-02  109228.E-07  000000.E+00
820001.E-02  857320.E-08  166345.E-07
840001.E-02  700965.E-08  339739.E-08
860001.E-02  434255.E-08  193519.E-07
880001.E-02  343150.E-08  278351.E-08
900001.E-02  380925.E-08  154963.E-08
920001.E-02  425968.E-08  000000.E+00
940001.E-02  622215.E-08  299432.E-06
960001.E-02  465315.E-08  790793.E-08
980001.E-02  389538.E-08  442632.E-08
100000.E-01  313109.E-08  000000.E+00
102000.E-01  297882.E-08  501831.E-07
104000.E-01  348832.E-08  148419.E-08
106000.E-01  647159.E-08  102239.E-06
108000.E-01  112963.E-07  000000.E+00
110000.E-01  998775.E-08  105083.E-07
112000.E-01  110097.E-07  248386.E-08
114000.E-01  816173.E-08  269138.E-07
116000.E-01  470162.E-08  625618.E-07
118000.E-01  762428.E-08  208618.E-06
120000.E-01  812179.E-08  981692.E-08
122000.E-01  957886.E-08  306754.E-08
124000.E-01  101266.E-07  115173.E-07
126000.E-01  127783.E-07  131131.E-07
128000.E-01  128091.E-07  999849.E-08
130000.E-01  137852.E-07  000000.E+00
132000.E-01  135358.E-07  111407.E-07
134000.E-01  107297.E-07  210576.E-07
136000.E-01  115736.E-07  130466.E-07
138000.E-01  121706.E-07  418710.E-07
140000.E-01  955205.E-08  107034.E-07
142000.E-01  105496.E-07  198598.E-07
144000.E-01  131097.E-07  000000.E+00
146000.E-01  153798.E-07  404711.E-07
148000.E-01  154671.E-07  840291.E-08
150000.E-01  142323.E-07  246320.E-07
152000.E-01  136724.E-07  115578.E-07
154000.E-01  127566.E-07  681923.E-08
156000.E-01  958251.E-08  240692.E-07
158000.E-01  580643.E-08  690344.E-08
160000.E-01  584206.E-08  489812.E-08
162000.E-01  865794.E-08  363412.E-07
164000.E-01  146007.E-07  217795.E-06
166000.E-01  230622.E-07  168671.E-08
168000.E-01  242759.E-07  304830.E-07
170000.E-01  196899.E-07  400184.E-08
172000.E-01  109669.E-07  352707.E-07
174000.E-01  877135.E-08  147961.E-07
176000.E-01  810486.E-08  207634.E-06
178000.E-01  100477.E-07  778872.E-08
180000.E-01  111817.E-07  697029.E-06
182000.E-01  129681.E-07  118731.E-07
184000.E-01  147677.E-07  237006.E-08
186000.E-01  176101.E-07  179989.E-07
188000.E-01  219404.E-07  173992.E-07
190000.E-01  237581.E-07  178484.E-08
192000.E-01  160180.E-07  292407.E-07
194000.E-01  627188.E-08  280225.E-07
196000.E-01  449274.E-08  345288.E-06
198000.E-01  187547.E-07  212535.E-06
200000.E-01  315409.E-07  444693.E-07
