====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =000005.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  6429.88E-02  2129.84E-06
400010.E-03  6644.64E-02  1388.63E-06
600010.E-03  7019.24E-02  1488.41E-06
800010.E-03  7238.19E-02  7667.49E-06
100001.E-02  7295.51E-02  0000.00E+00
120001.E-02  7307.19E-02  2807.30E-07
140001.E-02  7317.22E-02  1713.72E-05
160001.E-02  7376.34E-02  0000.00E+00
180001.E-02  7271.86E-02  2853.47E-05
200001.E-02  7222.45E-02  5632.67E-06
220001.E-02  7353.49E-02  0000.00E+00
240001.E-02  7391.54E-02  1504.36E-06
260001.E-02  7322.58E-02  1335.42E-06
280001.E-02  7198.52E-02  4022.27E-06
300001.E-02  7202.40E-02  0000.00E+00
320001.E-02  7571.97E-02  2967.83E-06
340001.E-02  7578.25E-02  2059.65E-06
360001.E-02  7367.21E-02  6389.08E-06
380001.E-02  7262.30E-02  0000.00E+00
400001.E-02  7554.85E-02  3380.23E-05
420001.E-02  7759.01E-02  1662.75E-06
440001.E-02  7915.95E-02  1060.21E-06
460001.E-02  7935.15E-02  3262.65E-06
480001.E-02  7697.40E-02  6282.48E-07
500001.E-02  7411.17E-02  1283.95E-07
520001.E-02  7454.33E-02  1326.64E-06
540001.E-02  7864.27E-02  1623.68E-05
560001.E-02  7936.95E-02  5409.86E-06
580001.E-02  8124.52E-02  7530.22E-06
600001.E-02  8119.15E-02  2659.72E-06
620001.E-02  8089.75E-02  2988.02E-06
640001.E-02  8144.47E-02  3448.18E-06
660001.E-02  7857.55E-02  5695.09E-06
680001.E-02  7473.14E-02  2663.86E-06
700001.E-02  6875.25E-02  7961.42E-06
720001.E-02  6997.12E-02  9734.71E-06
740001.E-02  7395.03E-02  3741.05E-06
760001.E-02  7219.61E-02  1867.12E-06
780001.E-02  6976.90E-02  1361.95E-06
800001.E-02  7196.50E-02  6021.02E-06
820001.E-02  7888.08E-02  1945.28E-07
840001.E-02  7480.43E-02  2862.59E-06
860001.E-02  6988.50E-02  2349.52E-06
880001.E-02  6832.20E-02  3453.87E-06
900001.E-02  6839.93E-02  1714.90E-05
920001.E-02  6717.88E-02  2845.82E-05
940001.E-02  7159.79E-02  2821.99E-07
960001.E-02  7281.86E-02  3943.10E-06
980001.E-02  7243.73E-02  4336.74E-05
100000.E-01  7058.77E-02  1284.16E-06
102000.E-01  7005.16E-02  4370.46E-04
104000.E-01  6714.59E-02  8305.70E-05
106000.E-01  7167.64E-02  3951.21E-06
108000.E-01  6927.79E-02  2023.44E-05
110000.E-01  5956.08E-02  1931.39E-05
112000.E-01  5685.55E-02  6054.83E-05
114000.E-01  5458.08E-02  1552.81E-05
116000.E-01  5457.06E-02  3752.63E-05
118000.E-01  4559.64E-02  2181.76E-04
120000.E-01  5253.04E-02  1973.94E-05
122000.E-01  5176.71E-02  1403.64E-04
124000.E-01  4731.62E-02  4420.28E-05
126000.E-01  4704.99E-02  1096.95E-04
128000.E-01  4867.83E-02  3108.43E-05
130000.E-01  3915.04E-02  1108.13E-04
132000.E-01  4052.19E-02  7379.52E-06
134000.E-01  3400.38E-02  2523.39E-04
136000.E-01  3552.00E-02  9631.26E-06
138000.E-01  3574.85E-02  2892.96E-05
140000.E-01  3067.80E-02  2257.07E-05
142000.E-01  3369.40E-02  1041.15E-04
144000.E-01  2949.73E-02  1249.54E-04
146000.E-01  3050.82E-02  3348.83E-04
148000.E-01  4661.03E-02  3778.29E-04
150000.E-01  1881.90E-02  4103.27E-05
152000.E-01  2197.12E-02  1637.75E-04
154000.E-01  1697.13E-02  3029.94E-04
156000.E-01  1449.75E-02  6161.48E-04
158000.E-01  1260.87E-02  3189.11E-04
160000.E-01  1861.57E-02  6217.77E-04
162000.E-01  4417.90E-03  5609.95E-06
164000.E-01  2053.15E-03  2215.41E-05
166000.E-01  3839.14E-03  4669.78E-04
168000.E-01  4862.78E-03  2007.63E-04
170000.E-01  2979.48E-04  1533.18E-04
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
