====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =5.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  336472.E-07  199121.E-07
400010.E-03  220549.E-07  142819.E-07
600010.E-03  217639.E-07  153513.E-07
800010.E-03  167269.E-07  651647.E-07
100001.E-02  136062.E-07  000000.E+00
120001.E-02  133401.E-07  371685.E-08
140001.E-02  140976.E-07  125136.E-06
160001.E-02  202687.E-07  000000.E+00
180001.E-02  237982.E-07  171117.E-06
200001.E-02  212167.E-07  510660.E-07
220001.E-02  114156.E-07  000000.E+00
240001.E-02  187945.E-07  147684.E-07
260001.E-02  232625.E-07  145622.E-07
280001.E-02  247767.E-07  357049.E-07
300001.E-02  198680.E-07  000000.E+00
320001.E-02  125202.E-07  283920.E-07
340001.E-02  977638.E-08  197041.E-07
360001.E-02  952324.E-08  516660.E-07
380001.E-02  131679.E-07  000000.E+00
400001.E-02  127057.E-07  202456.E-06
420001.E-02  159794.E-07  174487.E-07
440001.E-02  185362.E-07  110688.E-07
460001.E-02  162208.E-07  315623.E-07
480001.E-02  106877.E-07  724176.E-08
500001.E-02  112082.E-07  172389.E-08
520001.E-02  257999.E-07  133387.E-07
540001.E-02  260387.E-07  111778.E-06
560001.E-02  205496.E-07  487844.E-07
580001.E-02  228856.E-07  576537.E-07
600001.E-02  275452.E-07  265628.E-07
620001.E-02  263163.E-07  263607.E-07
640001.E-02  200189.E-07  325489.E-07
660001.E-02  224092.E-07  450043.E-07
680001.E-02  325943.E-07  252734.E-07
700001.E-02  379645.E-07  625796.E-07
720001.E-02  359110.E-07  804067.E-07
740001.E-02  236490.E-07  332300.E-07
760001.E-02  157542.E-07  194009.E-07
780001.E-02  135175.E-07  140145.E-07
800001.E-02  158581.E-07  523042.E-07
820001.E-02  211413.E-07  245973.E-08
840001.E-02  264128.E-07  281412.E-07
860001.E-02  274851.E-07  235127.E-07
880001.E-02  210179.E-07  327087.E-07
900001.E-02  364225.E-07  125292.E-06
920001.E-02  348062.E-07  197781.E-06
940001.E-02  313624.E-07  338150.E-08
960001.E-02  242853.E-07  368323.E-07
980001.E-02  202972.E-07  293428.E-06
100000.E-01  131492.E-07  141227.E-07
102000.E-01  204833.E-07  177280.E-05
104000.E-01  355598.E-07  482803.E-06
106000.E-01  184336.E-07  400743.E-07
108000.E-01  445188.E-07  156321.E-06
110000.E-01  390167.E-07  151651.E-06
112000.E-01  233410.E-07  380000.E-06
114000.E-01  300994.E-07  121286.E-06
116000.E-01  493829.E-07  239993.E-06
118000.E-01  537502.E-07  107665.E-05
120000.E-01  632033.E-07  154944.E-06
122000.E-01  328391.E-07  756004.E-06
124000.E-01  554482.E-07  305965.E-06
126000.E-01  221674.E-07  642489.E-06
128000.E-01  200258.E-07  231902.E-06
130000.E-01  749817.E-07  680853.E-06
132000.E-01  706120.E-07  721265.E-07
134000.E-01  640926.E-07  119223.E-05
136000.E-01  855277.E-07  934365.E-07
138000.E-01  779080.E-07  217317.E-06
140000.E-01  752602.E-07  186816.E-06
142000.E-01  705476.E-07  671903.E-06
144000.E-01  249070.E-06  884897.E-06
146000.E-01  226879.E-06  199430.E-05
148000.E-01  404959.E-06  217045.E-05
150000.E-01  946014.E-07  306477.E-06
152000.E-01  183669.E-06  995564.E-06
154000.E-01  227632.E-06  167599.E-05
156000.E-01  540406.E-06  345466.E-05
158000.E-01  569532.E-06  213738.E-05
160000.E-01  484001.E-06  365335.E-05
162000.E-01  527824.E-07  518281.E-07
164000.E-01  124996.E-07  172733.E-06
166000.E-01  901565.E-07  192033.E-05
168000.E-01  242322.E-06  133110.E-05
170000.E-01  138727.E-06  878461.E-06
172000.E-01  000000.E+00  000000.E+00
174000.E-01  000000.E+00  000000.E+00
176000.E-01  000000.E+00  000000.E+00
178000.E-01  000000.E+00  000000.E+00
180000.E-01  000000.E+00  000000.E+00
182000.E-01  000000.E+00  000000.E+00
184000.E-01  000000.E+00  000000.E+00
186000.E-01  000000.E+00  000000.E+00
188000.E-01  000000.E+00  000000.E+00
190000.E-01  000000.E+00  000000.E+00
192000.E-01  000000.E+00  000000.E+00
194000.E-01  000000.E+00  000000.E+00
196000.E-01  000000.E+00  000000.E+00
198000.E-01  000000.E+00  000000.E+00
200000.E-01  000000.E+00  000000.E+00
