====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =5.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  100589.E-07  487241.E-08
400010.E-03  888964.E-08  220679.E-08
600010.E-03  132412.E-07  642384.E-06
800010.E-03  140644.E-07  216684.E-08
100001.E-02  183013.E-07  711489.E-08
120001.E-02  133631.E-07  268970.E-07
140001.E-02  153316.E-07  477328.E-08
160001.E-02  152051.E-07  617168.E-07
180001.E-02  128679.E-07  129573.E-07
200001.E-02  902888.E-08  242114.E-07
220001.E-02  805926.E-08  199476.E-06
240001.E-02  928934.E-08  618971.E-08
260001.E-02  112634.E-07  125937.E-07
280001.E-02  107613.E-07  892279.E-08
300001.E-02  178656.E-07  596486.E-07
320001.E-02  132014.E-07  392864.E-07
340001.E-02  764281.E-08  288761.E-07
360001.E-02  645276.E-08  538778.E-06
380001.E-02  951028.E-08  763421.E-07
400001.E-02  742271.E-08  120467.E-07
420001.E-02  928937.E-08  836271.E-08
440001.E-02  183996.E-07  628358.E-08
460001.E-02  209890.E-07  109034.E-07
480001.E-02  196474.E-07  249659.E-07
500001.E-02  152654.E-07  148584.E-07
520001.E-02  100226.E-07  961496.E-07
540001.E-02  379839.E-08  506473.E-08
560001.E-02  110461.E-07  154347.E-06
580001.E-02  176191.E-07  199792.E-08
600001.E-02  250595.E-07  847988.E-07
620001.E-02  386223.E-07  115941.E-07
640001.E-02  277973.E-07  465578.E-07
660001.E-02  108169.E-07  243121.E-06
680001.E-02  156813.E-07  821797.E-07
700001.E-02  236509.E-07  103686.E-07
720001.E-02  173088.E-07  318329.E-07
740001.E-02  180438.E-07  869647.E-07
760001.E-02  366221.E-07  191343.E-07
780001.E-02  379939.E-07  475240.E-07
800001.E-02  369476.E-07  155205.E-07
820001.E-02  229749.E-07  491908.E-07
840001.E-02  162262.E-07  372329.E-06
860001.E-02  274474.E-07  120942.E-07
880001.E-02  208405.E-07  754897.E-07
900001.E-02  187828.E-07  133725.E-06
920001.E-02  337529.E-07  236535.E-07
940001.E-02  422760.E-07  278718.E-07
960001.E-02  191777.E-07  423950.E-06
980001.E-02  117719.E-07  215341.E-07
100000.E-01  713506.E-08  160150.E-06
102000.E-01  126840.E-07  105957.E-06
104000.E-01  222653.E-07  606997.E-07
106000.E-01  287847.E-07  626400.E-06
108000.E-01  127678.E-07  182472.E-06
110000.E-01  333329.E-07  323851.E-06
112000.E-01  483761.E-07  481719.E-07
114000.E-01  585598.E-07  347353.E-07
116000.E-01  355423.E-07  353342.E-06
118000.E-01  232832.E-07  252828.E-07
120000.E-01  228914.E-07  664892.E-06
122000.E-01  476538.E-07  238144.E-06
124000.E-01  563544.E-07  156204.E-06
126000.E-01  562161.E-07  110999.E-05
128000.E-01  774202.E-07  683195.E-07
130000.E-01  688471.E-07  178098.E-05
132000.E-01  102908.E-06  183510.E-05
134000.E-01  915442.E-07  209741.E-06
136000.E-01  936761.E-07  465589.E-06
138000.E-01  108251.E-06  184323.E-06
140000.E-01  106375.E-06  547735.E-06
142000.E-01  163837.E-06  725687.E-06
144000.E-01  143357.E-06  311714.E-06
146000.E-01  894641.E-07  111083.E-05
148000.E-01  152798.E-06  432203.E-06
150000.E-01  554239.E-06  126825.E-05
152000.E-01  118374.E-05  502787.E-05
154000.E-01  511603.E-06  239734.E-05
156000.E-01  394668.E-06  306016.E-05
158000.E-01  299301.E-07  398233.E-06
160000.E-01  807297.E-07  212156.E-06
162000.E-01  117359.E-06  187149.E-06
164000.E-01  100000.E-06  216331.E-06
166000.E-01  221454.E-06  673766.E-06
168000.E-01  000000.E+00  000000.E+00
170000.E-01  000000.E+00  000000.E+00
172000.E-01  000000.E+00  000000.E+00
174000.E-01  000000.E+00  000000.E+00
176000.E-01  000000.E+00  000000.E+00
178000.E-01  000000.E+00  000000.E+00
180000.E-01  000000.E+00  000000.E+00
182000.E-01  000000.E+00  000000.E+00
184000.E-01  000000.E+00  000000.E+00
186000.E-01  000000.E+00  000000.E+00
188000.E-01  000000.E+00  000000.E+00
190000.E-01  000000.E+00  000000.E+00
192000.E-01  000000.E+00  000000.E+00
194000.E-01  000000.E+00  000000.E+00
196000.E-01  000000.E+00  000000.E+00
198000.E-01  000000.E+00  000000.E+00
200000.E-01  000000.E+00  000000.E+00
