====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =000005.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  7452.82E-02  2574.89E-07
400010.E-03  7101.14E-02  1713.56E-07
600010.E-03  7090.11E-02  1305.06E-04
800010.E-03  7291.53E-02  1677.36E-07
100001.E-02  7258.63E-02  6084.02E-07
120001.E-02  7192.83E-02  2854.66E-06
140001.E-02  6965.20E-02  4222.56E-07
160001.E-02  7339.15E-02  7753.10E-06
180001.E-02  7506.23E-02  1357.56E-06
200001.E-02  7526.90E-02  2507.72E-06
220001.E-02  7264.43E-02  3168.42E-05
240001.E-02  7449.16E-02  5721.75E-07
260001.E-02  7760.99E-02  1151.96E-06
280001.E-02  7822.33E-02  8775.35E-07
300001.E-02  7631.61E-02  7458.89E-06
320001.E-02  7702.79E-02  4769.67E-06
340001.E-02  7706.47E-02  3087.72E-06
360001.E-02  7607.39E-02  1038.91E-04
380001.E-02  7858.33E-02  1064.99E-05
400001.E-02  8086.35E-02  1246.64E-06
420001.E-02  7743.91E-02  6798.83E-07
440001.E-02  7400.01E-02  5256.71E-07
460001.E-02  7543.20E-02  1039.20E-06
480001.E-02  7925.11E-02  2755.02E-06
500001.E-02  7751.41E-02  1467.04E-06
520001.E-02  7409.28E-02  1262.89E-05
540001.E-02  7585.69E-02  4025.21E-07
560001.E-02  7879.77E-02  2178.74E-05
580001.E-02  7887.31E-02  1525.56E-07
600001.E-02  7610.59E-02  1001.88E-05
620001.E-02  7622.32E-02  1192.03E-06
640001.E-02  7578.23E-02  5154.45E-06
660001.E-02  7357.32E-02  4052.65E-05
680001.E-02  7539.16E-02  1024.13E-05
700001.E-02  7903.56E-02  9324.00E-07
720001.E-02  7715.20E-02  3410.63E-06
740001.E-02  7263.43E-02  1234.95E-05
760001.E-02  7730.22E-02  1876.46E-06
780001.E-02  8112.14E-02  5240.43E-06
800001.E-02  7616.46E-02  1421.31E-06
820001.E-02  7629.13E-02  5437.63E-06
840001.E-02  8184.41E-02  7025.13E-05
860001.E-02  7912.84E-02  1055.88E-06
880001.E-02  6936.91E-02  9132.45E-06
900001.E-02  6670.97E-02  1779.40E-05
920001.E-02  6851.21E-02  2226.10E-06
940001.E-02  7271.90E-02  2808.46E-06
960001.E-02  6849.06E-02  7694.97E-05
980001.E-02  7081.22E-02  2001.76E-06
100000.E-01  6726.00E-02  2301.07E-05
102000.E-01  6335.03E-02  1389.23E-05
104000.E-01  6032.51E-02  7252.68E-06
106000.E-01  6025.81E-02  1266.74E-04
108000.E-01  6832.94E-02  2520.39E-05
110000.E-01  6581.14E-02  5657.94E-05
112000.E-01  6173.29E-02  5116.86E-06
114000.E-01  5800.24E-02  3312.22E-06
116000.E-01  6025.85E-02  5983.04E-05
118000.E-01  5120.41E-02  2464.65E-06
120000.E-01  5769.44E-02  1225.68E-04
122000.E-01  5003.45E-02  3516.48E-05
124000.E-01  5322.02E-02  2054.39E-05
126000.E-01  4244.28E-02  2429.37E-04
128000.E-01  4276.23E-02  6873.98E-06
130000.E-01  3497.66E-02  4080.40E-04
132000.E-01  3709.22E-02  3646.70E-04
134000.E-01  4802.15E-02  2590.84E-05
136000.E-01  4040.80E-02  6754.93E-05
138000.E-01  3373.62E-02  2117.66E-05
140000.E-01  2595.02E-02  8946.07E-05
142000.E-01  2875.96E-02  1095.41E-04
144000.E-01  2995.94E-02  3896.54E-05
146000.E-01  2072.80E-02  1825.36E-04
148000.E-01  2477.58E-02  5372.79E-05
150000.E-01  2585.73E-02  1642.46E-04
152000.E-01  2384.61E-02  7356.50E-04
154000.E-01  1967.88E-02  3828.80E-04
156000.E-01  1908.73E-02  5315.44E-04
158000.E-01  2107.96E-03  6674.86E-05
160000.E-01  1255.88E-03  2536.00E-05
162000.E-01  2522.60E-03  2186.99E-05
164000.E-01  1272.34E-03  2522.98E-05
166000.E-01  1273.39E-03  9241.45E-05
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
