====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =4.34
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  101776.E-07  258956.E-09
400010.E-03  119258.E-07  325906.E-08
600010.E-03  781515.E-08  557900.E-08
800010.E-03  786763.E-08  000000.E+00
100001.E-02  788310.E-08  657872.E-09
120001.E-02  732795.E-08  903006.E-08
140001.E-02  380125.E-08  261400.E-07
160001.E-02  257109.E-08  000000.E+00
180001.E-02  256205.E-08  338057.E-08
200001.E-02  220526.E-08  688067.E-08
220001.E-02  237492.E-08  000000.E+00
240001.E-02  211932.E-08  187529.E-08
260001.E-02  207950.E-08  000000.E+00
280001.E-02  218402.E-08  162957.E-08
300001.E-02  223996.E-08  000000.E+00
320001.E-02  228032.E-08  562742.E-08
340001.E-02  321464.E-08  567036.E-08
360001.E-02  323805.E-08  441144.E-07
380001.E-02  435494.E-08  000000.E+00
400001.E-02  435494.E-08  000000.E+00
420001.E-02  419541.E-08  258666.E-08
440001.E-02  419498.E-08  000000.E+00
460001.E-02  353096.E-08  125294.E-07
480001.E-02  272703.E-08  320117.E-08
500001.E-02  211434.E-08  809985.E-08
520001.E-02  163406.E-08  000000.E+00
540001.E-02  312215.E-08  158096.E-08
560001.E-02  489178.E-08  000000.E+00
580001.E-02  490973.E-08  156343.E-08
600001.E-02  905336.E-08  527615.E-08
620001.E-02  946769.E-08  149111.E-08
640001.E-02  108611.E-07  000000.E+00
660001.E-02  107431.E-07  203308.E-07
680001.E-02  770654.E-08  000000.E+00
700001.E-02  770654.E-08  000000.E+00
720001.E-02  798265.E-08  304059.E-07
740001.E-02  661129.E-08  207160.E-08
760001.E-02  578340.E-08  100572.E-07
780001.E-02  535846.E-08  000000.E+00
800001.E-02  533385.E-08  212877.E-08
820001.E-02  532413.E-08  000000.E+00
840001.E-02  638117.E-08  234941.E-07
860001.E-02  994004.E-08  242902.E-08
880001.E-02  978222.E-08  274798.E-08
900001.E-02  948890.E-08  000000.E+00
920001.E-02  951316.E-08  189916.E-08
940001.E-02  953778.E-08  000000.E+00
960001.E-02  909727.E-08  289928.E-07
980001.E-02  533144.E-08  223372.E-07
100000.E-01  649336.E-08  315104.E-06
102000.E-01  678726.E-08  000000.E+00
104000.E-01  694880.E-08  214049.E-08
106000.E-01  720558.E-08  000000.E+00
108000.E-01  716635.E-08  136969.E-07
110000.E-01  603350.E-08  196948.E-07
112000.E-01  481007.E-08  210045.E-08
114000.E-01  492790.E-08  000000.E+00
116000.E-01  531528.E-08  438986.E-08
118000.E-01  590945.E-08  000000.E+00
120000.E-01  592288.E-08  530636.E-08
122000.E-01  735182.E-08  145717.E-07
124000.E-01  686807.E-08  282694.E-08
126000.E-01  674925.E-08  000000.E+00
128000.E-01  846139.E-08  952405.E-08
130000.E-01  100835.E-07  000000.E+00
132000.E-01  999942.E-08  202437.E-07
134000.E-01  888798.E-08  449207.E-08
136000.E-01  971447.E-08  194968.E-08
138000.E-01  109875.E-07  000000.E+00
140000.E-01  830846.E-08  264344.E-07
142000.E-01  738756.E-08  000000.E+00
144000.E-01  795127.E-08  161945.E-07
146000.E-01  909176.E-08  176298.E-08
148000.E-01  781612.E-08  129283.E-07
150000.E-01  738856.E-08  783445.E-08
152000.E-01  924018.E-08  000000.E+00
154000.E-01  924018.E-08  000000.E+00
156000.E-01  727941.E-08  626459.E-06
158000.E-01  706167.E-08  370342.E-08
160000.E-01  671403.E-08  000000.E+00
162000.E-01  505322.E-08  175750.E-07
164000.E-01  351624.E-08  000000.E+00
166000.E-01  351624.E-08  000000.E+00
168000.E-01  404355.E-08  146852.E-07
170000.E-01  384184.E-08  177827.E-08
172000.E-01  414985.E-08  156664.E-08
174000.E-01  681901.E-08  000000.E+00
176000.E-01  681901.E-08  000000.E+00
178000.E-01  700319.E-08  155730.E-07
180000.E-01  894919.E-08  275068.E-08
182000.E-01  898545.E-08  000000.E+00
184000.E-01  666755.E-08  154463.E-07
186000.E-01  579311.E-08  000000.E+00
188000.E-01  579311.E-08  000000.E+00
190000.E-01  303998.E-08  256990.E-07
192000.E-01  340981.E-08  289820.E-08
194000.E-01  378023.E-08  350218.E-07
196000.E-01  399616.E-08  387505.E-08
198000.E-01  290966.E-08  245329.E-08
200000.E-01  715826.E-08  146992.E-07
